21.03.2019, 23:34:33, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
21.03.2019, 23:34:41, 95.62.73.105, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:34:41, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=2
21.03.2019, 23:34:47, 95.62.73.105, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=2
21.03.2019, 23:34:48, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=1
21.03.2019, 23:34:49, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/index.html
21.03.2019, 23:34:51, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:35:03, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?unitid=4&unitname=Alpha
21.03.2019, 23:35:03, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?am=1&TON=20&MNU=&TP=BM&SZ=1&TMM=3&MVG=14&MVJ=0&ROLE=Missile%20Boat&DMGS=1&DMGM=1&DMGL=1&OV=0&A=2&S=2&PVA=36&SPCL=CASE%2CIF1&PN=Mary&PI=images%2Fpilots%2Ff_005.png&SKILL=0&MULID=189&MODEL=Baboon%20(Howler)%20(Standard)&UNITID=4
21.03.2019, 23:35:13, 95.62.73.105, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:35:13, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=1
